Study label,Country,Intervention,Participants (n),Female participants,Mean age,Duration of treatment,Target of intervention,Mode of intervention,Stimuli used,Target bias,Number of sessions
Podina (2020),Romania, Control CBM-I,71,NR,NR,Single session,Interpretation bias,Computer,Sentences; vignettes specific to SAD; instructed to imagine scenarios,Interpretation,1
Ran (2022),China, Control CBM-A,24,12,20.2,1 week,Attentional bias,Computer,Faces,Attentional,7
Ran (2022),China,CBM-A,24,12,19.7,1 week,Attentional bias,Computer,Faces,Attentional,7
Reyes (2020),Austrailia, Control CBM-I,21,18,19.2,Single session,self-interpretation,Computer,Sentences,Interpretation,1
Reyes (2020),Austrailia,CBM-I,21,18,19.2,Single session,self-interpretation,Computer,Sentences,Interpretation,1
Rozenman (2020),USA,CBM-I,12,6,19.9,5 weeks,Interpretation bias,Computer,Sentences,Interpretation,12
Rozenman (2020),USA, Control CBM-I,12,7,19.9,5 weeks,Interpretation bias,Computer,Sentences,Interpretation,12
Salemink (2007),The Netherlands,CBM-I,60,NR,NR,NR,Interpretation bias,Computer,Sentences,Interpretation,1
Salemink (2007),The Netherlands, Opposite CBM-I,58,NR,NR,NR,Interpretation bias,Computer,Sentences,Interpretation,1
Shafiei (2019),Iran,CBM-A,16,NR,NR,4 weeks,Attentional bias,Computer,Faces,Attentional,8
Shafiei (2019),Iran, Control CBM-A,16,NR,NR,4 weeks,Attentional bias,Computer,Faces,Attentional,8
Sportel (2013),Netherlands,CBM-A,86,NR,NR,4 weeks,Attentional bias,Computer,Faces,Attentional,20
Sportel (2013),Netherlands, TAU,70,54,14.1,4 weeks,Attentional bias,Computer,Faces,Attentional,20
Standage (2014),UK, Opposite CBM-I,76,NR,NR,Single session,Interpretation bias,Computer,shapes; imagining scenarios,Interpretation,1
Standage (2014),UK,CBM-I,76,NR,NR,Single session,Interpretation bias,Computer,shapes; imagining scenarios,Interpretation,1
Steinman (2015),16 countries (92.9% USA), Control CBM-I,81,50,32.4,NR,Interpretation bias,Computer,words,Interpretation,1
Steinman (2015),16 countries (92.9% USA),CBM-I,61,35,32.7,NR,Interpretation bias,Computer,words,Interpretation,1
Steinman (2015),16 countries (92.9% USA),CBM-I,64,53,37.1,NR,Interpretation bias,Computer,words,Interpretation,1
Steinman (2015),16 countries (92.9% USA),CBM-I,64,59,35.7,NR,Interpretation bias,Computer,words,Interpretation,1
Steinman (2015),16 countries (92.9% USA), Control CBM-I,80,50,39.0,NR,Interpretation bias,Computer,words,Interpretation,1
Stevens (2018),USA,CBM-I,35,27,20.24,Single session,interpretation,Computer,Sentences; imagined scenarios,Interpretation,1
Stevens (2018),USA,CBM-I,35,21,20.1,Single session,interpretation,Computer,Sentences; imagined scenarios,Interpretation,1
